csv_name,json_name,match_type,match_score,record_count,approval
Askakeagh,ASKAKEAGH,exact,100,29,YES
Ballagh,BALLAGH,exact,100,111,YES
Ballinacor,BALLINACOR,exact,100,7,YES
Ballinglen,BALLINGLEN,exact,100,79,YES
Ballinguile,BALLINGUILE,exact,100,50,YES
Ballybeg,BALLYBEG,exact,100,17,YES
Ballycumber North,BALLYCUMBER NORTH,exact,100,11,YES
Ballycumber South,BALLYCUMBER SOUTH,exact,100,20,YES
Ballynamanoge,BALLYNAMANOGE,exact,100,6,YES
Ballyshonog,BALLYSHONOG,exact,100,17,YES
Carrick,CARRICK,exact,100,3,YES
Carrigatheme,CARRIGATHEME,exact,100,1,YES
Carrigroe,CARRIGROE,exact,100,10,YES
Churchland,CHURCHLAND,exact,100,6,YES
Coolafunshoge,COOLAFUNSHOGE,exact,100,10,YES
Coolalug,COOLALUG,exact,100,9,YES
Coolbawn or Coolballintaggart,COOLBAWN or COOLBALLINTAGGART,exact,100,16,YES
Coolross,COOLROSS,exact,100,18,YES
Corndog,CORNDOG,exact,100,8,YES
Cross,CROSS,exact,100,1,YES
Drummin,DRUMMIN,exact,100,15,YES
Farnees,FARNEES,exact,100,123,YES
Garryhoe,GARRYHOE,exact,100,21,YES
Kilballyowen,KILBALLYOWEN,exact,100,188,YES
Killaveny,KILLAVENY,exact,100,96,YES
Kilpipe,KILPIPE,exact,100,170,YES
Knocknaboley,KNOCKNABOLEY,exact,100,178,YES
Knocknagree,KNOCKNAGREE,exact,100,2,YES
Kyle,KYLE,exact,100,65,YES
Lugduff,LUGDUFF,exact,100,56,YES
Lybagh,LYBAGH,exact,100,1,YES
Mangans,MANGANS,exact,100,44,YES
Mill Land,MILL LAND,exact,100,4,YES
Moyne,MOYNE,exact,100,90,YES
Mucklagh,MUCKLAGH,exact,100,85,YES
Mullannaskeagh,MULLANNASKEAGH,exact,100,1,YES
Muskeagh,MUSKEAGH,exact,100,50,YES
Preban,PREBAN,exact,100,29,YES
Raheenteige,RAHEENTEIGE,exact,100,4,YES
Rathbane,RATHBANE,exact,100,10,YES
Rathcot,RATHCOT,exact,100,1,YES
Rathcoyle Lower,RATHCOYLE LOWER,exact,100,1,YES
Rathcoyle Upper,RATHCOYLE UPPER,exact,100,2,YES
Rathmeague,RATHMEAGUE,exact,100,6,YES
Rathshanmore South,RATHSHANMORE SOUTH,exact,100,6,YES
Roddenagh,RODDENAGH,exact,100,15,YES
Rosbane,ROSBANE,exact,100,12,YES
