consolidated_townland,consolidated_townland_upper,sources,geojson_townland,match_type,match_score,approval_status
Rasnastraw,RASNASTRAW,"aggregated_records.csv, tenancies.csv",ROSNASTRAW,FUZZY,90,PENDING
ballynultagh,BALLYNULTAGH,aggregated_records.csv,ballynultagh,EXACT,100,APPROVED
BALLEESE LOWER,BALLEESE LOWER,wicklow-census-data.csv,,NO_MATCH,0,NEEDS_REVIEW
carrigatheme,CARRIGATHEME,aggregated_records.csv,carrigatheme,EXACT,100,APPROVED
ruskeen,RUSKEEN,aggregated_records.csv,,NO_MATCH,0,NEEDS_REVIEW
BALLYWARD,BALLYWARD,wicklow-census-data.csv,BALLARD,FUZZY,88,PENDING
GLASNARGET SOUTH,GLASNARGET SOUTH,wicklow-census-data.csv,,NO_MATCH,0,NEEDS_REVIEW
BALLINAMEESDA T,BALLINAMEESDA T,wicklow-census-data.csv,,NO_MATCH,0,NEEDS_REVIEW
L. Munney,L. MUNNEY,aggregated_records.csv,,NO_MATCH,0,NEEDS_REVIEW
BORKILL MORE,BORKILL MORE,wicklow-census-data.csv,,NO_MATCH,0,NEEDS_REVIEW
ballyknockers and deerepark,BALLYKNOCKERS AND DEEREPARK,aggregated_records.csv,,NO_MATCH,0,NEEDS_REVIEW
Kyle,KYLE,"aggregated_records.csv, tenancies.csv",Kyle,EXACT,100,APPROVED
Ballycumber South,BALLYCUMBER SOUTH,"aggregated_records.csv, tenancies.csv",Ballycumber South,EXACT,100,APPROVED
Dunbun,DUNBUN,"aggregated_records.csv, tenancies.csv",,NO_MATCH,0,NEEDS_REVIEW
RATHMEAGUE,RATHMEAGUE,"unified_census.csv, wicklow-census-data.csv",RATHMEAGUE,EXACT,100,APPROVED
CANNOW,CANNOW,wicklow-census-data.csv,,NO_MATCH,0,NEEDS_REVIEW
"Mullans, South","MULLANS, SOUTH","aggregated_records.csv, tenancies.csv",MULLANS SOUTH,FUZZY,96,PENDING
cronythorn,CRONYTHORN,aggregated_records.csv,,NO_MATCH,0,NEEDS_REVIEW
SLIEVEMAAN,SLIEVEMAAN,"unified_census.csv, wicklow-census-data.csv",SLIEVEMAAN,EXACT,100,APPROVED
TOMRILAND,TOMRILAND,wicklow-census-data.csv,,NO_MATCH,0,NEEDS_REVIEW
SESKIN,SESKIN,"unified_census.csv, wicklow-census-data.csv",SESKIN,EXACT,100,APPROVED
KILLINURE,KILLINURE,"unified_census.csv, wicklow-census-data.csv",KILLINURE,EXACT,100,APPROVED
Killabeg,KILLABEG,"aggregated_records.csv, tenancies.csv",Killabeg,EXACT,100,APPROVED
Hillbrook Lower,HILLBROOK LOWER,"aggregated_records.csv, tenancies.csv",Hillbrook Lower,EXACT,100,APPROVED
LEAMORE LOWER,LEAMORE LOWER,wicklow-census-data.csv,,NO_MATCH,0,NEEDS_REVIEW
COAN,COAN,wicklow-census-data.csv,,NO_MATCH,0,NEEDS_REVIEW
Hillbrook and Up Coolboy,HILLBROOK AND UP COOLBOY,"aggregated_records.csv, tenancies.csv",,NO_MATCH,0,NEEDS_REVIEW
Mullans,MULLANS,aggregated_records.csv,,NO_MATCH,0,NEEDS_REVIEW
KNOCKLOE,KNOCKLOE,"unified_census.csv, wicklow-census-data.csv",KNOCKLOE,EXACT,100,APPROVED
tubberconagh,TUBBERCONAGH,aggregated_records.csv,,NO_MATCH,0,NEEDS_REVIEW
glenphillipeen,GLENPHILLIPEEN,aggregated_records.csv,GLENPHILIPEEN,FUZZY,96,PENDING
ROCK BIG,ROCK BIG,wicklow-census-data.csv,,NO_MATCH,0,NEEDS_REVIEW
Coollattin,COOLLATTIN,"aggregated_records.csv, tenancies.csv",COOLATTIN,FUZZY,95,PENDING
Rasheenmore,RASHEENMORE,aggregated_records.csv,,NO_MATCH,0,NEEDS_REVIEW
bahana,BAHANA,aggregated_records.csv,,NO_MATCH,0,NEEDS_REVIEW
poullingate,POULLINGATE,aggregated_records.csv,,NO_MATCH,0,NEEDS_REVIEW
ballicionogue,BALLICIONOGUE,aggregated_records.csv,,NO_MATCH,0,NEEDS_REVIEW
SLIEVENAMOUGH,SLIEVENAMOUGH,"unified_census.csv, wicklow-census-data.csv",SLIEVENAMOUGH,EXACT,100,APPROVED
BARNAMIRE,BARNAMIRE,wicklow-census-data.csv,,NO_MATCH,0,NEEDS_REVIEW
BALLYNERRIN UPPER,BALLYNERRIN UPPER,wicklow-census-data.csv,,NO_MATCH,0,NEEDS_REVIEW
GLENCAP COMMONS SOUTH,GLENCAP COMMONS SOUTH,wicklow-census-data.csv,,NO_MATCH,0,NEEDS_REVIEW
