normalized_name,json_townland,csv_townland,census_townland,in_json,in_csv,in_census,csv_to_json_match,csv_to_census_match,record_count,approval_status
KILLINANE,,Killinane,,NO,YES,NO,NO MATCH,NO MATCH,4,APPROVED
BULLINGATE,,Bullingate,,NO,YES,NO,NO MATCH,NO MATCH,58,APPROVED
RATHINEAGH,,Rathineagh,,NO,YES,NO,NO MATCH,NO MATCH,2,APPROVED
KNOCKADOOMEAGLE,,Knockadoomeagle,,NO,YES,NO,NO MATCH,NO MATCH,2,APPROVED
LASCOLERNAN,,Lascolernan,,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
BALLYVOLEN,,Ballyvolen,,NO,YES,NO,NO MATCH,NO MATCH,6,APPROVED
KILLINURE,KILLINURE,Killinure,KILLINURE,YES,YES,YES,FUZZY (100%),EXACT,445,PENDING_REVIEW
TUBBERTONAGH,,Tubbertonagh,,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
COOLBOY AND HILLBROOK,,Coolboy and Hillbrook,,NO,YES,NO,NO MATCH,NO MATCH,4,APPROVED
CRONE,CRONE,Crone,CRONE,YES,YES,YES,FUZZY (100%),EXACT,18,PENDING_REVIEW
RAOTH?,,Raoth?,,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
NEWCASTLE AND BLACKDITCH,,Newcastle and Blackditch,,NO,YES,NO,NO MATCH,NO MATCH,2,APPROVED
SLEAGHROOL,,Sleaghrool,,NO,YES,NO,NO MATCH,NO MATCH,3,APPROVED
RUSNASTRAW,,Rusnastraw,,NO,YES,NO,NO MATCH,NO MATCH,2,APPROVED
SEABEGG,,Seabegg,,NO,YES,NO,NO MATCH,NO MATCH,2,APPROVED
FARNESS,,Farness,,NO,YES,NO,NO MATCH,NO MATCH,5,APPROVED
MOLONASKEY,,Molonaskey,,NO,YES,NO,NO MATCH,NO MATCH,3,APPROVED
PEPPERLANDS,,Pepperlands,,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
TOWERBOY & BALLINGUOLE,,Towerboy & Ballinguole,,NO,YES,NO,NO MATCH,NO MATCH,4,APPROVED
GLENFILLIPPEEN,,Glenfillippeen,,NO,YES,NO,NO MATCH,NO MATCH,13,APPROVED
ASKILLEAGH,,Askilleagh,,NO,YES,NO,NO MATCH,NO MATCH,2,APPROVED
BLACKDITCH AND BALLYADOCK,,Blackditch and Ballyadock,,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
PARKMORE,PARKMORE,Parkmore,PARKMORE,YES,YES,YES,FUZZY (100%),EXACT,23,PENDING_REVIEW
KNOCKLOW,,Knocklow,,NO,YES,NO,NO MATCH,NO MATCH,65,APPROVED
MOATABOWER (CO. WEXFORD),,Moatabower (Co. Wexford),,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
RATHMORE,,Rathmore,,NO,YES,NO,NO MATCH,NO MATCH,5,APPROVED
GOULD,,Gould,,NO,YES,NO,NO MATCH,NO MATCH,4,APPROVED
MANGANS,MANGANS,Mangans,MANGANS,YES,YES,YES,FUZZY (100%),EXACT,44,PENDING_REVIEW
BALLINAVORTA,,Ballinavorta,,NO,YES,NO,NO MATCH,NO MATCH,7,APPROVED
KILLIBEGS,,Killibegs,,NO,YES,NO,NO MATCH,NO MATCH,7,APPROVED
PARK AND DRUMMIN,,Park and Drummin,,NO,YES,NO,NO MATCH,NO MATCH,3,APPROVED
KILMULLIN,,Kilmullin,,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
CROSSBRIDGE,,Crossbridge,,NO,YES,NO,NO MATCH,NO MATCH,5,APPROVED
BALLINULTON,,Ballinulton,,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
KNNOCKADOOMCOYLE,,Knnockadoomcoyle,,NO,YES,NO,NO MATCH,NO MATCH,2,APPROVED
KILPIPE AND COOLBAWN,,Kilpipe and Coolbawn,,NO,YES,NO,NO MATCH,NO MATCH,5,APPROVED
BALLYNERRA,,Ballynerra,,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
GLENYSHOKE AND BALLINGATE,,Glenyshoke and Ballingate,,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
"[""KYLE"" STRUCK OUT] BALLYCUMBER",,"[""Kyle"" struck out] Ballycumber",,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
NEW ROE,,New Roe,,NO,YES,NO,NO MATCH,NO MATCH,9,APPROVED
BALLYSHONOG,BALLYSHONOG,Ballyshonog,BALLYSHONOG,YES,YES,YES,FUZZY (100%),EXACT,17,PENDING_REVIEW
COOLFEANEY?,,Coolfeaney?,,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
RATHMEIGUE,,Rathmeigue,,NO,YES,NO,NO MATCH,NO MATCH,7,APPROVED
BALLYNAMANOGE,BALLYNAMANOGE,Ballynamanoge,BALLYNAMANOGE,YES,YES,YES,FUZZY (100%),EXACT,6,PENDING_REVIEW
BALLYMARROGE,BALLYMARROGE,Ballymarroge,BALLYMARROGE,YES,YES,YES,FUZZY (100%),EXACT,7,PENDING_REVIEW
[FARNEES STRUCK OUT] CORRAVANISH,,[Farnees struck out] Corravanish,,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
MONEY LOWER,MONEY LOWER,Money Lower,MONEY LOWER,YES,YES,YES,FUZZY (100%),EXACT,8,PENDING_REVIEW
RATHCOTT,,Rathcott,,NO,YES,NO,NO MATCH,NO MATCH,3,APPROVED
BALLINACOR,BALLINACOR,Ballinacor,BALLINACOR,YES,YES,YES,FUZZY (100%),EXACT,7,PENDING_REVIEW
BALLYTUSKIN,,Ballytuskin,,NO,YES,NO,NO MATCH,NO MATCH,11,APPROVED
MULLANS SOUTH,MULLANS SOUTH,,MULLANS SOUTH,YES,NO,YES,NO MATCH,NO MATCH,0,APPROVED
SLIVERROE,,Sliverroe,,NO,YES,NO,NO MATCH,NO MATCH,2,APPROVED
BALLYGANNON COTTAGES,,Ballygannon Cottages,,NO,YES,NO,NO MATCH,NO MATCH,2,APPROVED
KILILNURE,,Kililnure,,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
KILEAVAN LOWER,,Kileavan Lower,,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
CARRIGATHEME,CARRIGATHEME,Carrigatheme,CARRIGATHEME,YES,YES,YES,FUZZY (100%),EXACT,1,PENDING_REVIEW
MONAPHULLEN,,Monaphullen,,NO,YES,NO,NO MATCH,NO MATCH,17,APPROVED
BOLEYNAKILL & BARRENBAWN,,Boleynakill & Barrenbawn,,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
SLIEVEMWEEL,SLIEVEMWEEL,Slievemweel,SLIEVEMWEEL,YES,YES,YES,FUZZY (100%),EXACT,29,PENDING_REVIEW
DUNBAN,,Dunban,,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
TINAHELY MORTONS,,Tinahely Mortons,,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
MOYNE,MOYNE,Moyne,MOYNE,YES,YES,YES,FUZZY (100%),EXACT,90,PENDING_REVIEW
MULINS,,Mulins,,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
GLENPHILIPEEN/TINAHELY,,Glenphilipeen/Tinahely,,NO,YES,NO,NO MATCH,NO MATCH,9,APPROVED
PREBAN AT TOMCOYLE,,Preban at Tomcoyle,,NO,YES,NO,NO MATCH,NO MATCH,8,APPROVED
KILLABEG,KILLABEG,Killabeg,KILLABEG,YES,YES,YES,FUZZY (100%),EXACT,8,PENDING_REVIEW
TANSEY CLOSE,,Tansey Close,,NO,YES,NO,NO MATCH,NO MATCH,5,APPROVED
COOLAFANCY,COOLAFANCY,Coolafancy,COOLAFANCY,YES,YES,YES,FUZZY (100%),EXACT,3,PENDING_REVIEW
CRONYHORN,,Cronyhorn,,NO,YES,NO,NO MATCH,NO MATCH,40,APPROVED
RAHEEGLASS,,Raheeglass,,NO,YES,NO,NO MATCH,NO MATCH,1,APPROVED
KILPOOLE,,Kilpoole,,NO,YES,NO,NO MATCH,NO MATCH,3,APPROVED
ROSBANE,ROSBANE,Rosbane,ROSBANE,YES,YES,YES,FUZZY (100%),EXACT,12,PENDING_REVIEW
PARK AT DRUMMIN,,Park at Drummin,,NO,YES,NO,NO MATCH,NO MATCH,11,APPROVED
HARNEY AT CARNACANICK,,Harney at Carnacanick,,NO,YES,NO,NO MATCH,NO MATCH,2,APPROVED
