variant,canonical,match_method,occurrences,compound_parts
Abbey & land,ABBEYLANDS,subdivision_pair,1,
Abbey & Land,ABBEYLANDS,subdivision_pair,1,
Ballarney and Abbeysands,ABBEYLANDS,compound_partial,1,ABBEYLANDS
Ballarney And Abbeysands,ABBEYLANDS,compound_partial,1,ABBEYLANDS
Aghold,AGHOWLE,source_pairing,399,
Aghowle,AGHOWLE,normalized_exact,252,
Aghowle Lower,AGHOWLE LOWER,normalized_exact,52,
Aghowle Upper,AGHOWLE UPPER,normalized_exact,40,
Anamoe,ANNAMOE,original_entry,0,
Ardoyne,ARDOYNE,normalized_exact,349,
Askakeagh,ASKAKEAGH,normalized_exact,236,
Askikeagh,ASKAKEAGH,source_pairing,163,
Bahana,BAHANA,normalized_exact,4,
Balisland,BALISLAND,normalized_exact,32,
Ballisland,BALISLAND,source_pairing,65,
Ballisland at Yewtree,BALISLAND,locative_at,1,
Ballisland At Yewtree,BALISLAND,locative_at,1,
Ballagh,BALLAGH,normalized_exact,259,
Ballard,BALLARD,normalized_exact,564,
Ballard and Crone,BALLARD,compound_first_part,1,BALLARD | CRONE
Ballard And Crone,BALLARD,compound_first_part,1,BALLARD | CRONE
Ballynaclash,BALLINACLASH,original_entry,0,
Ballinacor,BALLINACOR,normalized_exact,14,
Ballinacur,BALLINACOR,original_entry,0,
Ballinacor & Tinahely,BALLINACOR (ED TINAHELY),subdivision_pair,4,
Ballinacorbeg/Rosbawn,BALLINACORBEG,compound_first_part,9,BALLINACORBEG | ROSBANE
Ballincorbeg,BALLINACORBEG,fuzzy_spelling,18,
Balilionogue,BALLINAGEE,phonetic_exact_multi,2,
Ballynakill,BALLINAKILL,fuzzy_spelling,4,
Boleynakill,BALLINAKILL,phonetic_exact_multi,10,
Boleynakill & Barrenbawn,BALLINAKILL,compound_first_part,2,BALLINAKILL | BARNBAWN
Boleynakill and Stump,BALLINAKILL,compound_partial,1,BALLINAKILL
Boleynakill And Stump,BALLINAKILL,compound_partial,1,BALLINAKILL
Ballinalla,BALLINALEA,fuzzy_spelling,6,
Ballinastraw,BALLINASTRAW,normalized_exact,4,
Ballinden,BALLINEDDAN,phonetic_exact_multi,6,
Ballingate,BALLINGATE,normalized_exact,107,
Bullinagate,BALLINGATE,source_pairing,5,
Bullingate,BALLINGATE,source_pairing,104,
Ballingate Lower,BALLINGATE LOWER,normalized_exact,2,
Ballingate Upper,BALLINGATE UPPER,normalized_exact,2,
Balinglen,BALLINGLEN,fuzzy_spelling,2,
Ballenglen,BALLINGLEN,source_pairing,6,
Ballinglen,BALLINGLEN,normalized_exact,172,
Ballenguile,BALLINGUILE,fuzzy_spelling,313,
Ballinguile,BALLINGUILE,normalized_exact,413,
Balllinguile,BALLINGUILE,fuzzy_spelling,4,
Towerboy & Ballenguile,BALLINGUILE,compound_partial,8,BALLINGUILE
Towerboy & Ballinguole,BALLINGUILE,compound_partial,8,BALLINGUILE
Ballinguile Hill,BALLINGUILEHILL,normalized_exact,6,
Ballytuskin,BALLINTESKIN,phonetic_fuzzy,22,
