townland_name,has_parish,has_barony,has_county,detected_at
ABBEYLANDS,False,False,False,2026-06-09
ASKINTINNY,False,False,False,2026-06-09
BALLINABANOGE,False,False,False,2026-06-09
BALLINTOMBAY,False,False,False,2026-06-09
BALLYDUFF,False,False,False,2026-06-09
BALLYDUFF NORTH,False,False,False,2026-06-09
BALLYDUFF SOUTH,False,False,False,2026-06-09
BALLYGRIFFIN,False,False,False,2026-06-09
BALLYNATTIN,False,False,False,2026-06-09
BALLYRAINE LOWER,False,False,False,2026-06-09
BALLYRAINE MIDDLE,False,False,False,2026-06-09
BALLYRAINE UPPER,False,False,False,2026-06-09
BALLYROOAUN,False,False,False,2026-06-09
BOGLAND,False,False,False,2026-06-09
CLOGGA,False,False,False,2026-06-09
COOLADANGAN,False,False,False,2026-06-09
COOLASTINGAN,False,False,False,2026-06-09
CRONELUSK,False,False,False,2026-06-09
CURRANSTOWN LOWER,False,False,False,2026-06-09
CURRANSTOWN UPPER,False,False,False,2026-06-09
ECAWN,False,False,False,2026-06-09
GLENART,False,False,False,2026-06-09
KILCARRA EAST,False,False,False,2026-06-09
KILCARRA WEST,False,False,False,2026-06-09
KILMURRY LOWER,False,False,False,2026-06-09
KILMURRY MIDDLE,False,False,False,2026-06-09
KILMURRY UPPER,False,False,False,2026-06-09
KISH,False,False,False,2026-06-09
KNOCKANRAHAN LOWER,False,False,False,2026-06-09
KNOCKANRAHAN UPPER,False,False,False,2026-06-09
KNOCKANREE,False,False,False,2026-06-09
LAMBERTON,False,False,False,2026-06-09
MONEY BIG,False,False,False,2026-06-09
MONEYLANE,False,False,False,2026-06-09
MONEY LITTLE,False,False,False,2026-06-09
MONGAN,False,False,False,2026-06-09
PARK ED ARKLOW RURAL,False,False,False,2026-06-09
POLLAHONEY,False,False,False,2026-06-09
ROCK BIG,False,False,False,2026-06-09
ROCKBOG,False,False,False,2026-06-09
ROCK LITTLE,False,False,False,2026-06-09
ROSTYGAH,False,False,False,2026-06-09
SHEEPHOUSE,False,False,False,2026-06-09
SPRINGFIELD,False,False,False,2026-06-09
THOMASTOWN,False,False,False,2026-06-09
TINAHASK LOWER,False,False,False,2026-06-09
TINAHASK UPPER,False,False,False,2026-06-09
YARDLAND,False,False,False,2026-06-09
NAN,False,False,False,2026-06-09
ARKLOW T,False,False,False,2026-06-09
ARKLOW TOWNSHIP,False,False,False,2026-06-09
DO FEVER HOSPITAL,False,False,False,2026-06-09
TOTAL,False,False,False,2026-06-09
BALLINAGORE,False,False,False,2026-06-09
BALLINASILLOGE,False,False,False,2026-06-09
BALLINTEMPLE,False,False,False,2026-06-09
BALLYCOOG LOWER,False,False,False,2026-06-09
BALLYCOOG UPPER,False,False,False,2026-06-09
BALLYKILLAGEER LOWER,False,False,False,2026-06-09
BALLYKILLAGEER UPPER,False,False,False,2026-06-09
COOLAHULLIN,False,False,False,2026-06-09
COOLGARROW,False,False,False,2026-06-09
MONEYTEIGE MIDDLE,False,False,False,2026-06-09
MONEYTEIGE NORTH,False,False,False,2026-06-09
MONEYTEIGE SOUTH,False,False,False,2026-06-09
BALLANAGH,False,False,False,2026-06-09
BALLINABARNY NORTH,False,False,False,2026-06-09
BALLINABARNY SOUTH,False,False,False,2026-06-09
BALLINAMONA,False,False,False,2026-06-09
BALLINAPARK,False,False,False,2026-06-09
BALLINASTRAW,False,False,False,2026-06-09
BALLINVALLY VALENTINE,False,False,False,2026-06-09
BALLINVALLY WISDOM,False,False,False,2026-06-09
BALLYARTHUR,False,False,False,2026-06-09
BALLYCOOLEEN,False,False,False,2026-06-09
BALLYGAHAN LOWER,False,False,False,2026-06-09
BALLYGAHAN UPPER,False,False,False,2026-06-09
BALLYMONEEN,False,False,False,2026-06-09
BALLYMURTAGH,False,False,False,2026-06-09
CASTLEHOWARD,False,False,False,2026-06-09
CASTLEMACADAM,False,False,False,2026-06-09
CHERRYMOUNT,False,False,False,2026-06-09
CONNARY LOWER,False,False,False,2026-06-09
CONNARY UPPER,False,False,False,2026-06-09
CRONEBANE,False,False,False,2026-06-09
GARNAGOWLAN,False,False,False,2026-06-09
KILCASHEL,False,False,False,2026-06-09
KILMACOO,False,False,False,2026-06-09
KILMACOO UPPER,False,False,False,2026-06-09
KILMAGIG LOWER,False,False,False,2026-06-09
KILMAGIG UPPER,False,False,False,2026-06-09
KILQUEENY,False,False,False,2026-06-09
KINGSTON,False,False,False,2026-06-09
KNOCKANDUFF,False,False,False,2026-06-09
KNOCKANODE,False,False,False,2026-06-09
KNOCKANREE LOWER,False,False,False,2026-06-09
KNOCKANREE UPPER,False,False,False,2026-06-09
KNOCKNAMOHILL,False,False,False,2026-06-09
PARKNASHAW,False,False,False,2026-06-09
POLLAPHUCA,False,False,False,2026-06-09
RAHEENAVINE,False,False,False,2026-06-09
ROCKSTOWN LOWER,False,False,False,2026-06-09
ROCKSTOWN UPPER,False,False,False,2026-06-09
SLIEVENAVODE,False,False,False,2026-06-09
SROUGHMORE,False,False,False,2026-06-09
TEMPLELUSK,False,False,False,2026-06-09
TIGRONEY EAST,False,False,False,2026-06-09
TIGRONEY WEST,False,False,False,2026-06-09
TINNAHINCH,False,False,False,2026-06-09
ASHTOWN NEWCASTLE BY,False,False,False,2026-06-09
BALLYGONNELL,False,False,False,2026-06-09
BALLYHARA ED WICKLOW RURAL,False,False,False,2026-06-09
BALLYNERRIN LOWER,False,False,False,2026-06-09
BALLYNERRIN UPPER,False,False,False,2026-06-09
BLACKDITCH,False,False,False,2026-06-09
HAWKSTOWN LOWER,False,False,False,2026-06-09
HAWKSTOWN UPPER,False,False,False,2026-06-09
KNOCKAQUIRK,False,False,False,2026-06-09
NEWTOWN ED WICKLOW RURAL,False,False,False,2026-06-09
RAHEENMORE,False,False,False,2026-06-09
TOBERAVILLER,False,False,False,2026-06-09
WICKLOW T,False,False,False,2026-06-09
BALLARD LOWER,False,False,False,2026-06-09
BALLARD UPPER,False,False,False,2026-06-09
BALLINACLEA,False,False,False,2026-06-09
BALLINACOR EAST,False,False,False,2026-06-09
BALLINACOR WEST,False,False,False,2026-06-09
BALLINAMEESDA LOWER,False,False,False,2026-06-09
BALLINAMEESDA UPPER,False,False,False,2026-06-09
BALLINCLARE,False,False,False,2026-06-09
BALLYCAPPLE,False,False,False,2026-06-09
BALLYCAPPLE HILL,False,False,False,2026-06-09
BALLYCLOGH NORTH,False,False,False,2026-06-09
BALLYCLOGH SOUTH,False,False,False,2026-06-09
BALLYDOWLING,False,False,False,2026-06-09
BALLYFLANIGAN,False,False,False,2026-06-09
BALLYGANNON BEG,False,False,False,2026-06-09
BALLYGANNON MORE,False,False,False,2026-06-09
BALLYHARA ED DUNGANSTOWN SOUTH,False,False,False,2026-06-09
BALLYHERRIG,False,False,False,2026-06-09
BALLYKEPPOGE,False,False,False,2026-06-09
BALLYMONEY ED DUNGANSTOWN EAST,False,False,False,2026-06-09
BALLYMURRIN LOWER,False,False,False,2026-06-09
BALLYMURRIN UPPER,False,False,False,2026-06-09
