OID_,NAME,MonumentsToVisit_INFO,WEBSITE_LINK,external_link,ENTITY_ID,SMRS,COUNTY,LOCALITY,MONUMENT_CLASS,ITM_E,ITM_N,LATITUDE,LONGITUDE
1,"Corcomroe Abbey, County Clare","Corcomroe Abbey is beautifully situated on the edge of the rocky hills of the Burren. It was founded for Cistercian monks around 1195 as a daughter house of the Abbey at Inisloughnaght, Co. Tipperary. The church was constructed in the early 13th century and consists of a nave with an aisle on the south side. It appears that it was intended to construct a similar aisle on the north side of the nave, but this may never have been completed, perhaps due to lack of funds. At the east end is a presbytery or chancel with a decorated ribbed vault lit by narrow lancet windows. There is a north and south transept, each with a single chapel. Where the presbytery and transepts meet there are several crossing arches that feature capitals with some wonderful carvings of human heads and flowers, including poppies, lily-of-the valleys and lotus. In the chancel is highly decorated sedilia and the effigy tomb of Conor O’Brien (d. 1268), king of the ancient territory of Thomond and descendant of the founders and benefactors of the abbey.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CCL003-029002-,https://www.archaeology.ie/monument-of-the-month/archive/corcomroe-abbey-co-clare,CL00184,CL003-029002-,CLARE,ABBEY WEST,Religious house - Cistercian monks,529458,709005,53.126913999999999,-9.054012999999999
2,"Ennis Friary, County Clare","This 13th century Franciscan friary, founded by the O'Briens, of Thomond who once ruled much of north Munster, has numerous 15th/16th century sculptures carved in the local hard limestone. A carved image of St. Francis displaying the stigmata is evident in the nave. He carries a cross staff and wears the Franciscan habit. Under the south arch of the tower, an elaborate tracery canopy of the late 15th century was perhaps part of an ornate tomb.  The corbels supporting this are carved on one side with a bishop and, on the other, the Virgin & Child. An arch between the nave and transept bears, in a niche, an image of ""Ecce Home"" or ""Christ's Pity"". His hands are bound and tokens of the crucifixion are arranged about. The magnificent east window, with its five tall, narrow lancets, lights the chancel.  The chancel once contained several royal and aristocratic tombs, among those remaining at the friary are the canopy of the Inchiquin/O' Brien tomb and also the Creagh tomb which incorporates five sculptured passion panels from the much older MacMahon Tomb. Set into the back of this tomb is thirteen carved figures representing Christ and the Apostles, all dating from the mid 15th century. The visitor to Ennis Friary can also see the sacristy, an impressive structure with ribbed, barrel-vaulted ceiling. After the suppression of the monasteries the Friary became a venue for assize courts and the sacristy was used as a courtroom. Leading out from the sacristy is the cloister area where part of the arcade has been reconstructed.  This national monument is managed by the Office of Public Works on behalf of the Minister for Arts, Heritage and the Gaeltacht.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.   ",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CCL033-082001-,https://heritageireland.ie/visit/places-to-visit/ennis-friary/,CL07193,CL033-082001-,CLARE,CLONROAD BEG,Religious house - Franciscan friars,533892,677681,52.845999999999997,-8.981372000000000
3,"Dunmore Cave, County Kilkenny","History and geology blend at Dunmore Cave to give an interesting and unique situation. Consisting of a series of chambers formed over millions of years, the cave contains some of the finest calcite formations found in any Irish cave. The cave has been known to man for many centuries and is first mentioned in the 9th century Irish Triads. The most interesting reference however, comes from the Annals which tells of a Viking massacre at the cave in the year 928 A.D.  Archaeological finds within the cave confirm Viking activity. Exhibitions and displays in the Visitor Centre. The cave is inaccessible for wheelchair users.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CKK014-017----,https://heritageireland.ie/visit/places-to-visit/dunmore-cave/,KK01310,KK014-017----,KILKENNY,MOHIL,Cave,650883,665029,52.733949000000003,-7.246585000000000
4,"Scattery Island, County Clare","Located approximately one mile off Kilrush, Scattery Island is home to a monastic settlement founded in the early 6th century by St. Senan who was born locally.  There are the ruins of six churches and one of the highest Round Towers in Ireland, 120 feet high, with it's unusual feature of it's door at ground level.  Scattery has had many invasions down through the centuries; the Vikings invaded during the early 9th century but Brian Boru later recaptured the island.  It is believed that Scattery is a derivation of the Norse word for treasure, which is Scatty.  The main church on the island is Teampall Naomh Mhuire (Cathedral of Saint Mary), situated next to the round tower.  Scattery for a time in the 12th century administered to a diocese.  There is an effigy of a bishop's head on the outside of the east window of the Cathedral believed to be that of St. Senan.  The holy well, called Tobar Sinean, beside the round tower was of great reverence and respect by the islanders.  It was also associated with a pattern held on St. Senan's Feast Day on 8th March.  St. Senan is believed to have died in the year 544 and is reputed to be buried in St. Senan's Bed beside Temple Senan a small 12th Century Romanesque church.  An exhibition of the history of the island is housed in the visitor reception building, which is situated near the pier. Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.  ",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CCL067-024012-,https://heritageireland.ie/visit/places-to-visit/scattery-island-centre/,CL06479,CL067-024012-,CLARE,SCATTERY ISLAND,Graveyard,497408,652479,52.613857000000003,-9.514934999999999
5,"Ballybeg Abbey, County Cork","Philip de Barry founded the priory of St. Thomas à Becket at Ballybeg for the Canons Regular of St. Augustine in 1229. His grandson, David Óg de Barry, the first Baron Barry enlarged the revenues of the priory in 1251. Ballybeg was an extensive foundation, the priory church measuring some 51m in length and 7.9m in width. The cloister, situated on the south side of the church was 27m square. The complex includes one of the finest surviving medieval dovecotes in Ireland which is located c. 30m to the south-east of the main buildings. .  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CCO017-059001-,https://www.discoverireland.ie/cork/ballybeg-augustinian-priory,CO01742,CO017-059001-,CORK,BALLYBEG WEST,Religious house - Augustinian canons,554241,607742,52.219532999999998,-8.669688000000001
6,"Barryscourt Castle, County Cork","Barryscourt castle is the 16th century seat of the Barry family. The present castle, with its largely intact bawn wall and corner towers, is a fine example of an Irish tower house. Both the First floor Main Hall and the Second Floor Great Hall have been extensively restored with fittings and furnishings reinstated. The Orchard has been restored to an original 16th century design and an herb garden has been reinstated in the bawn.  This project by the Trust was aided by ECAD. Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.   ",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CCO075-018001-,https://heritageireland.ie/places-to-visit/barryscourt-castle/,CO10829,CO075-018001-,CORK,BARRYSCOURT,Castle - tower house,582156,572523,51.904567999999998,-8.259316999999999
7,"Cahervagliar Ringfort, County Cork","This large earthen ringfort is situated near the village of Cappeen in West Cork. It is unusual in terms of the arrangement of its enclosing banks and ditches and the presence of a stone-lined entrance passageway within the inner bank. The size and complexity of its construction indicate that around AD 1000 this fort was the homestead of person of some importance, perhaps a local chieftain. The ringfort consists of a substantial bank that is surrounded in turn by a small ditch, a small bank and a large outer ditch. The diameter of the inner enclosure is 42m while the overall diameter of the fort is 75m. The massive inner bank was originally stone-faced on both sides and traces of this can still be seen in places around its circumference. The stone-lined entrance is unique in earthen ringforts, although similar constructions are known in the Irish stone forts. The passage was covered by a series of eight large stone lintels. As there was no causeway across the outer ditch leading to the entrance, there may have been a wooden bridge here providing access. Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CCO094-060001-,https://www.discoverireland.ie/cork/cahervagliar-fort,CO12784,CO094-060001-,CORK,CAPPEEN WEST,Ringfort - rath,531228,560551,51.793008000000000,-8.996969000000000
8,"Desmond Castle - French Prison, County Cork","Desmond Castle was built by the Earl of Desmond c. 1500. A fine example of an urban tower house, the castle consists of a three storey keep with storehouses to the rear.  Originally built as a Customs house, the castle also served as a prison in the 18th century (it is known locally as the French Prison) an ordnance store during the Battle of Kinsale (1601) and as a workhouse during the Great Famine. By the early decades of the 20th Century Desmond castle had fallen into decay. It was declared a National Monument in 1938.  Today Desmond Castle hosts the International Museum of Wine Exhibition, an intriguing story that documents the unique history of Ireland's wine links with Europe and the wider world.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.   ",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CCO112-034006-,https://heritageireland.ie/visit/places-to-visit/desmond-castle-kinsale/,CO14486,CO112-034006-,CORK,TOWNPLOTS,Castle - tower house,563737,550671,51.707248000000000,-8.524696000000000
9,"Kilnaruane Pillar Stone, County Cork","This ancient church site is located on the crest of a low hill from which there are magnificent views across Bantry Bay. The townland name probably means Cill na RÃ³mhÃ¡n, â€˜Church of the Romansâ€™, and may refer to a group of monks who adopted the Roman method of calculating Easter in this area some time before AD 630. The church itself is long gone and the main feature at the site is a monument known as the â€˜The Bantry Pillar Stoneâ€™. This stone is probably the shaft of a high cross, perhaps dating to the 8th or 9th century. On the northwest face is a depiction of St Paulâ€™s visit to St Antony in the Egyptian desert. In the panel above is a cross with squares at its crossing and terminals. Next there is a figure wearing a long robe with his hands raised in prayer. The uppermost panel is decorated with ribbon interlace. The southwest face is dominated by the famous â€˜Bantry Boatâ€™. Within the boat is an individual manning the steering oar, four oarsmen and probably two other individuals near the prow. A cross rises from the boat at the stern. The boat itself is probably a skin-covered currach similar to those still in use in Kerry and Galway. Near the high cross shaft are four short stone pillars that once formed the corner-posts of a shrine, which probably marked the grave of the founder of this church or some other individual who was revered as a saint.  To access further details and see other monuments in this area click <a href='http://webgis.archaeology.ie/NationalMonuments/FlexViewer/?id=CO118-031003-' target='_blank'>here</a>. Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CCO118-031003-,https://curiousireland.ie/kilnaruane-carved-pillar-stone-bantry-county-cork/,CO15063,CO118-031003-,CORK,KILNARUANE,Cross,498463,547563,51.671306000000001,-9.468026000000000
10,"Charles Fort, County Cork","Charles Fort is a classic example of a late 17th century star-shaped fort. William Robinson, architect of the Royal Hospital in Kilmainham, Dublin, and Superintendent of Fortifications, is credited with designing the fort. As one of the largest military installations in the country, Charles Fort has been associated with some of the most momentous events in Irish history. The most significant of these are the Williamite War 1689-91 and the Civil War 1922-23. Charles Fort was declared a National Monument in 1973. Across the estuary is James Fort designed by Paul Ive in 1602.  This national monument is managed by the Office of Public Works on behalf of the Minister for Arts, Heritage and the Gaeltacht.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.   ",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CCO125-007----,https://heritageireland.ie/visit/places-to-visit/charles-fort-national-monument/,CO15816,CO125-007----,CORK,FORTHILL,Bastioned fort,565504,549453,51.696410999999998,-8.499008999999999
