OID_,ENTITY_ID,CLASS_CODE,SMRS,COUNTY,TOWNLAND,COUNTY_ID,ZONE_ID,ITM_E,ITM_N,LATITUDE,LONGITUDE,MONUMENT_T,FIRST_EDIT,LATEST_EDI,WEBSITE_LI,WEB_NOTES
1,CL01376,HOWE,CL009-076----,CLARE,CARRAN,4,R126128,524221.000000000000000,697263.000000000000000,53.020686869000002,-9.129481340000000,Ritual site - holy well,'Tobermacreagh','Tobermacreagh' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL009-076----,"In hawthorn overgrowth in low-lying pasture at the W end of the Poulacarran Valley, with steep slopes rising c. 50m to the S and c. 80m to the W. Indicated and labelled 'Tobermacreagh' on the 1842 and 1920 eds. of the OS 6-inch map. This name may be an a"
2,CL01549,HOWE,CL010-021005-,CLARE,TERMON,4,R126410,528864.000000000000000,699935.000000000000000,53.045334062999999,-9.060880227000000,Ritual site - holy well,Tobercronan,'Tobercronan' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL010-021005-,Situated at the base of a rock face c. 90m S of Templecronan church (CL010-021002-). Named ‘Tobercronan’ on the OS 6-inch maps. The rock face is at NE and the area around the well is concreted over. A small oval opening allows access to the water. Of
3,CL01551,HOWE,CL010-021007-,CLARE,TERMON,4,R126410,528888.000000000000000,699947.000000000000000,53.045445084000001,-9.060525019000000,Ritual site - holy well,Not indicated,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL010-021007-,"Listed as ‘Holy well’ in the RMP (1996) with the IG 12892, 19991 (ITM 528888, 699947). On inspection in 1999 this was described as being near the E end of a lowlying damp field with a huge natural boulder nearby to the E. It was apparently a simple"
4,CL01556,HOWE,CL010-026001-,CLARE,TERMON,4,R126465,530009.000000000000000,700508.000000000000000,53.050634004000003,-9.043931912000000,Ritual site - holy well,Not indicated,'Tobernafiaghanta' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL010-026001-,"In a sheltered area of rocky scrub with higher ground to N and W and with a penitential station (CL010-026002-) standing at its NW edge. Named ‘Tobernafiaghanta’ on the Cassini edition (1916) of the OS 6-inch map. According to logainm.ie, ‘Tobernaf"
5,CL01573,HOWE,CL010-037001-,CLARE,GLENCOLUMBKILLE SOUTH,4,R126370,531745.000000000000000,699655.000000000000000,53.043193330000001,-9.017862987999999,Ritual site - holy well,'Holy Well','Holy Well', https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL010-037001-,"In pasture at the base of a partly wooded rocky incline which rises to W and NW. Indicated and labelled ‘Holy Well’ on both the first edition (1842) and later, Cassini edition (1920) of the OS 6-inch map. This holy well comprises a small, subcircular"
6,CL00560,HOWE,CL005-137----,CLARE,GLENINSHEEN,4,R188511,522963.000000000000000,702981.000000000000000,53.071886864000000,-9.149594047000001,Ritual site - holy well, ,'Holy Well' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL005-137----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded.  To access available  information for resear
7,CL04280,HOWE,CL036-014----,CLARE,DRUMMOD,4,R125093,558642.000000000000000,680415.000000000000000,52.873039054000003,-8.614335390999999,Ritual site - holy well, ,'Tobermochulla' (1920), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL036-014----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded.  To access available  information for resear
8,CL01738,HOWE,CL010-105----,CLARE,POULNALOUR,4,R126007,530430.000000000000000,695821.000000000000000,53.008571859000000,-9.036643267000001,Ritual site - holy well, ,'St. Patrick's Well' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL010-105----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded.  To access available  information for resear
9,CL00036,HOWE,CL002-007002-,CLARE,GLENINAGH NORTH,4,R126980,519302.000000000000000,710347.000000000000000,53.137532385000000,-9.206063092000001,Ritual site - holy well,Tobernacrobaneeve,'Tobernacrobaneeve' (1915), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL002-007002-,"Just SW of a tower house (CL002-007001-) on level ground in good pasture on the S shore of Galway Bay, c. 90m S of a raised shingle beach. Recorded as ‘Tobernacrobaneeve’ on the 1842 OS 6-inch map, as ‘Tobernacrobaneede’ on the 1915 ed. and ‘To"
10,CL00051,HOWE,CL002-010001-,CLARE,GLENINAGH NORTH,4,R126967,520071.000000000000000,709821.000000000000000,53.132921953000000,-9.194441728999999,Ritual site - holy well,Tobercornan,'Tobercornan' (1915), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL002-010001-,"On the roadside with higher rocky ground, the source of the spring, rising immediately to S. Indicated and named ‘Tobercornan’ on the 1842 and 1915 OS 6-inch maps and named ‘Pinnacle Well’ and ‘Tobar Chornáin’ on Robinson’s map of the Burr"
