Townland,1841 Male,1841 Female,1841 Inhabited,1841 Uninhabited,1851 Male,1851 Female,1851 Inhabited,1851 Uninhabited,1861 Male,1861 Female,1861 Inhabited,1861 Uninhabited,1871 Male,1871 Female,1871 Inhabited,1871 Uninhabited,1881 Male,1881 Female,1881 Inhabited,1881 Uninhabited,1891 Male,1891 Female,1891 Inhabited,1891 Uninhabited,Townland_Gaelic,Townland_Description,Placename_Theme
BALLINACOR,29.0,26.0,10.0,1.0,34.0,32.0,11.0,,28.0,25.0,10.0,,26.0,21.0,12.0,,43.0,29.0,18.0,3.0,35.0,48.0,18.0,2.0,Baile na Corra Beag,"The Irish form points to baile = settlement or town, beag = small. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
COOLBOY,59.0,61.0,16.0,1.0,41.0,38.0,13.0,,38.0,28.0,14.0,3.0,22.0,22.0,9.0,2.0,18.0,27.0,8.0,3.0,17.0,16.0,8.0,,An Cúl Buí,The Irish form points to buí = yellow. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
SLIEVEROE,20.0,24.0,7.0,,19.0,23.0,6.0,1.0,68.0,47.0,13.0,,18.0,12.0,6.0,,11.0,13.0,4.0,,12.0,13.0,4.0,,An Sliabh Rua,"The Irish form points to sliabh = mountain or upland, rua = red. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
CARRIGROE,10.0,7.0,3.0,,13.0,17.0,3.0,,3.0,8.0,2.0,,8.0,11.0,3.0,,5.0,6.0,3.0,1.0,4.0,3.0,2.0,1.0,Carraig an Chróigh,"The Irish form points to carraig = rock. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
DRUMMIN,194.0,182.0,56.0,1.0,139.0,114.0,43.0,3.0,105.0,91.0,38.0,4.0,117.0,97.0,39.0,,110.0,94.0,36.0,6.0,91.0,85.0,32.0,7.0,An Dromainn,"The Irish form points to dromainn = ridge or back. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
LUGDUFF,13.0,11.0,2.0,,9.0,14.0,4.0,,12.0,10.0,3.0,,3.0,5.0,1.0,,4.0,4.0,1.0,,5.0,3.0,1.0,,An Log Dubh,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
BALLARD,43.0,36.0,11.0,,28.0,26.0,8.0,,21.0,16.0,6.0,1.0,23.0,21.0,7.0,,19.0,15.0,8.0,,12.0,11.0,6.0,,An Baile Ard,"The Irish form points to baile = settlement or town, ard = height. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
BALLARD,72.0,71.0,15.0,,62.0,62.0,15.0,,36.0,40.0,12.0,,41.0,42.0,12.0,1.0,32.0,40.0,11.0,,30.0,31.0,11.0,,An Baile Ard,"The Irish form points to baile = settlement or town, ard = height. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
MILL LAND,18.0,9.0,5.0,,9.0,4.0,2.0,1.0,6.0,4.0,2.0,1.0,3.0,6.0,3.0,,3.0,2.0,9.0,,1.0,2.0,1.0,,Fearann an Mhuilinn,"The Irish form points to fearann = land or estate. This kind of name usually reflects working land—pasture, enclosed grazing, fields, or another farming use visible in the rural landscape.",Agricultural land use
ARDOYNE,83.0,78.0,32.0,,65.0,76.0,29.0,2.0,36.0,37.0,15.0,,26.0,32.0,13.0,1.0,29.0,24.0,13.0,,21.0,30.0,11.0,1.0,Ard Dúin,"The Irish form points to ard = height. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
RATHBANE,79.0,72.0,28.0,,51.0,46.0,19.0,1.0,44.0,52.0,17.0,,47.0,50.0,18.0,1.0,44.0,52.0,17.0,,44.0,38.0,18.0,,An Ráth Bhán,"The Irish form points to ráth = ringfort or enclosed settlement, bhán = white or pale. That wording often hints at an early enclosed site such as a ringfort or remembered fortification, suggesting long continuity of occupation.",Archaeological / enclosure
RATHCOT,18.0,16.0,6.0,,16.0,22.0,6.0,,12.0,23.0,6.0,,12.0,21.0,5.0,,11.0,12.0,5.0,,13.0,9.0,5.0,,Ráth Chota,"The Irish form points to ráth = ringfort or enclosed settlement. That wording often hints at an early enclosed site such as a ringfort or remembered fortification, suggesting long continuity of occupation.",Archaeological / enclosure
RATHMEAGUE,44.0,43.0,13.0,1.0,30.0,29.0,11.0,1.0,22.0,27.0,9.0,1.0,31.0,24.0,9.0,,30.0,21.0,8.0,1.0,17.0,16.0,7.0,1.0,Ráth Mheidhg,"The Irish form points to ráth = ringfort or enclosed settlement. That wording often hints at an early enclosed site such as a ringfort or remembered fortification, suggesting long continuity of occupation.",Archaeological / enclosure
RATHSHANMORE EAST,18.0,20.0,5.0,,12.0,10.0,5.0,,13.0,6.0,4.0,,10.0,6.0,4.0,,18.0,10.0,4.0,,12.0,11.0,3.0,,Ráth Sheáin Mhóir Thoir,"The Irish form points to ráth = ringfort or enclosed settlement, sheáin = personal name Seán/John. That wording often hints at an early enclosed site such as a ringfort or remembered fortification, suggesting long continuity of occupation.",Archaeological / enclosure
RATHSHANMORE SOUTH,29.0,25.0,7.0,,27.0,20.0,6.0,,23.0,20.0,6.0,,16.0,15.0,5.0,,11.0,9.0,4.0,,6.0,4.0,2.0,,Ráth Sheáin Mhóir Theas,"The Irish form points to ráth = ringfort or enclosed settlement, sheáin = personal name Seán/John. That wording often hints at an early enclosed site such as a ringfort or remembered fortification, suggesting long continuity of occupation.",Archaeological / enclosure
RATHSHANMORE WEST,45.0,46.0,16.0,,20.0,31.0,6.0,1.0,20.0,26.0,6.0,,12.0,15.0,5.0,,16.0,18.0,5.0,,21.0,20.0,6.0,,Ráth Sheáin Mhóir Thiar,"The Irish form points to ráth = ringfort or enclosed settlement, sheáin = personal name Seán/John. That wording often hints at an early enclosed site such as a ringfort or remembered fortification, suggesting long continuity of occupation.",Archaeological / enclosure
BALLYBEG,64.0,75.0,19.0,,36.0,40.0,14.0,,25.0,33.0,10.0,1.0,27.0,27.0,10.0,,27.0,30.0,8.0,3.0,19.0,22.0,7.0,2.0,An Baile Beag,"The Irish form points to baile = settlement or town, beag = small. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
BALLYCUMBER NORTH,39.0,50.0,11.0,,24.0,20.0,6.0,1.0,18.0,12.0,5.0,,12.0,15.0,4.0,,16.0,15.0,4.0,,10.0,11.0,4.0,,Baile an Chomair Thuaidh,"The Irish form points to baile = settlement or town, thuaidh = north. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
BALLYCUMBER SOUTH,59.0,58.0,20.0,1.0,43.0,48.0,14.0,1.0,31.0,38.0,13.0,1.0,33.0,35.0,12.0,,35.0,35.0,13.0,,25.0,30.0,10.0,2.0,Baile an Chomair Theas,"The Irish form points to baile = settlement or town, theas = south. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
BALLYNAMANOGE,55.0,42.0,14.0,,48.0,47.0,14.0,,41.0,37.0,11.0,,37.0,37.0,10.0,,27.0,25.0,10.0,,27.0,23.0,10.0,,Baile na mBánóg,"The Irish form points to baile = settlement or town. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
BALLYSHONOG,83.0,89.0,26.0,,53.0,59.0,19.0,2.0,41.0,34.0,15.0,,34.0,34.0,12.0,,41.0,37.0,12.0,,38.0,26.0,13.0,,Baile Sheonac,"The Irish form points to baile = settlement or town. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
BRIDGELAND,36.0,29.0,12.0,,29.0,25.0,11.0,3.0,25.0,18.0,8.0,2.0,25.0,23.0,9.0,,22.0,12.0,7.0,2.0,14.0,13.0,7.0,2.0,Fearann an Droichid,"The Irish form points to fearann = land or estate. This kind of name usually reflects working land—pasture, enclosed grazing, fields, or another farming use visible in the rural landscape.",Agricultural land use
CARRICK,42.0,30.0,12.0,,22.0,17.0,5.0,,17.0,17.0,4.0,,14.0,11.0,5.0,,11.0,7.0,2.0,,8.0,6.0,2.0,,An Charraig,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
CHURCHLAND,13.0,9.0,3.0,1.0,1.0,5.0,1.0,1.0,,,,1.0,,,,,13.0,8.0,4.0,1.0,10.0,8.0,4.0,1.0,Cill Chomáin,"The Irish form points to cill = church or early ecclesiastical site. The name likely preserves a church, saint, cross, or holy well association, which can point to an older religious landmark in the locality.",Ecclesiastical / devotional
COOLAFUNSHOGE,64.0,69.0,24.0,,50.0,66.0,19.0,,44.0,42.0,13.0,,38.0,24.0,11.0,2.0,31.0,24.0,10.0,,27.0,27.0,10.0,,Cúil na bhFuinseog,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
COOLROSS,12.0,8.0,4.0,,9.0,13.0,4.0,,32.0,19.0,8.0,,44.0,30.0,12.0,,30.0,23.0,10.0,,9.0,8.0,3.0,,Cúil Rois,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
CROSS,13.0,12.0,5.0,,10.0,10.0,3.0,,9.0,9.0,4.0,,12.0,8.0,4.0,,5.0,8.0,4.0,,8.0,6.0,4.0,,An Chrois,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
CURRAVANISH,55.0,39.0,15.0,,46.0,44.0,15.0,,36.0,35.0,13.0,,41.0,34.0,13.0,,39.0,31.0,13.0,,36.0,32.0,13.0,,Corr Mhánais,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
FARNEES,70.0,77.0,27.0,,56.0,44.0,21.0,3.0,41.0,41.0,14.0,,31.0,38.0,19.0,,21.0,29.0,8.0,,20.0,29.0,8.0,,Fearnaigh,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
GARRYHOE,58.0,52.0,17.0,,40.0,36.0,14.0,1.0,43.0,30.0,14.0,,37.0,30.0,14.0,,36.0,35.0,13.0,,46.0,34.0,14.0,,Garraí Mhic Eochú,"The Irish form points to mhic = family or clan association. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
GLENPHILIPEEN,61.0,61.0,21.0,,40.0,39.0,16.0,,17.0,18.0,9.0,,23.0,21.0,8.0,1.0,22.0,20.0,8.0,,13.0,14.0,5.0,1.0,Gleann Philibín,"The Irish form points to gleann = glen or valley. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
KNOCKNABOLEY,117.0,118.0,33.0,1.0,86.0,88.0,25.0,3.0,68.0,62.0,21.0,,66.0,47.0,17.0,2.0,63.0,40.0,17.0,,47.0,34.0,18.0,2.0,Cnoc na Buaile,"The Irish form points to cnoc = hill, buaile = booley or cattle enclosure. This kind of name usually reflects working land—pasture, enclosed grazing, fields, or another farming use visible in the rural landscape.",Agricultural land use
