Townland,1841 Male,1841 Female,1841 Inhabited,1841 Uninhabited,1851 Male,1851 Female,1851 Inhabited,1851 Uninhabited,1861 Male,1861 Female,1861 Inhabited,1861 Uninhabited,1871 Male,1871 Female,1871 Inhabited,1871 Uninhabited,1881 Male,1881 Female,1881 Inhabited,1881 Uninhabited,1891 Male,1891 Female,1891 Inhabited,1891 Uninhabited
ABBEYLANDS,114,107,37,,64,66,28,,8,6,4,,7,8,2,,,,,,,,,
ARKLOW,,,,,,,,,,,,,,,,,,,,,,,,
ASKINTINNY,29,24,10,,21,21,8,,25,24,9,,28,24,10,,22,17,8,,14,12,7,
BALLINABANOGE,19,20,6,,18,17,6,,16,15,4,,14,17,4,,18,12,4,,13,9,3,1
BALLINTOMBAY,5,5,1,,3,5,1,,20,13,3,,10,8,3,,4,6,3,,5,5,3,
BALLYDUFF,8,5,1,,4,2,1,,8,5,1,,6,5,1,,5,2,1,,6,7,2,
BALLYDUFF NORTH,44,45,12,2,14,17,5,1,9,16,5,1,7,8,4,1,13,16,5,,9,10,4,
BALLYDUFF SOUTH,,,,,26,24,8,,9,11,4,,16,21,5,,10,7,3,1,4,3,2,1
BALLYGRIFFIN,31,22,9,,26,22,6,,21,23,6,,22,20,6,,23,19,6,,15,11,5,
BALLYNATTIN,24,21,6,,17,13,4,,9,7,2,,7,6,2,,5,5,2,,4,5,2,
BALLYRAINE LOWER,7,5,3,,11,9,3,,8,10,4,,6,10,5,,,,,,,,,
BALLYRAINE MIDDLE,8,6,2,,4,5,2,,6,3,1,,6,5,3,,7,16,3,,15,10,3,
BALLYRAINE UPPER,9,9,4,,8,10,4,1,5,6,5,,6,4,3,,13,8,5,,14,7,5,
BALLYROOAUN,7,9,2,,3,5,2,,3,10,2,,6,6,2,,,,,,,,,1
BOGLAND,18,17,4,,14,12,4,1,8,7,3,,4,3,2,1,2,6,1,,2,6,1,
CLOGGA,16,16,5,,12,20,5,,21,18,5,,17,18,5,,8,15,4,,5,7,4,
COOLADANGAN,27,32,6,,23,16,5,,17,18,3,,9,11,3,,11,10,3,,7,12,2,
COOLASTINGAN,12,15,4,,13,15,3,,7,9,2,,7,6,2,,4,5,1,,3,6,1,
CRONELUSK,7,7,3,,7,5,3,,11,10,3,,8,9,3,,6,8,2,,6,5,2,
CURRANSTOWN LOWER,30,34,10,,12,15,3,,15,14,3,,9,9,3,,12,12,3,,10,9,3,
CURRANSTOWN UPPER,,,,,15,17,4,,16,11,2,,8,9,3,,6,2,1,,6,6,2,
ECAWN,13,5,2,,6,6,2,,3,2,2,,5,4,2,,8,5,2,,4,2,1,
GLENART,10,16,3,1,11,16,3,,3,8,2,,2,2,2,,15,16,8,,21,12,8,
KILCARRA EAST,63,63,21,,8,10,4,,13,9,6,1,17,24,10,,28,30,12,1,29,29,14,
KILCARRA WEST,,,,,30,42,14,,23,28,10,,24,28,11,,24,29,10,1,29,29,12,1
KILMURRY LOWER,15,15,6,,22,16,5,,12,14,4,,4,7,2,,1,4,1,,2,,1,
KILMURRY MIDDLE,12,5,1,,8,7,1,,5,5,1,,3,2,1,,4,2,1,,3,2,1,
KILMURRY UPPER,9,6,1,,8,6,2,,8,4,2,,6,3,2,,7,6,2,,5,7,1,
KISH,8,10,3,,12,15,4,,7,16,3,,7,14,3,,5,13,3,,9,12,3,
KNOCKANRAHAN LOWER,22,29,11,1,29,39,14,,15,18,7,,,,,,,,,,,,,
KNOCKANRAHAN UPPER,16,15,6,1,20,20,6,,15,15,4,,10,16,5,,,,,,,,,
KNOCKANREE,26,23,6,,17,26,6,,21,22,6,,19,21,6,,14,15,6,,10,7,5,1
LAMBERTON,35,40,13,,26,31,11,,33,42,13,,29,45,13,,,,,,,,,
MONEY BIG,9,14,3,,8,9,3,,7,9,3,,14,12,3,,12,7,2,,12,6,3,
MONEYLANE,3,8,2,,5,6,1,1,5,6,1,,4,5,1,,4,3,1,,3,2,1,
MONEY LITTLE,3,5,2,,6,4,2,,6,4,2,,7,4,2,,2,4,1,,9,6,2,
MONGAN,51,48,18,,46,52,16,,33,34,13,,27,34,13,,8,13,6,,,,,
PARK (ED Arklow Rural),30,27,10,,28,20,7,,20,21,8,,29,20,6,,15,11,3,1,13,13,3,
POLLAHONEY,,,,,,,,,4,7,2,,5,4,1,,,,,,1,2,1,
ROCK BIG,59,62,18,,55,65,17,1,59,63,18,1,72,60,19,,33,34,12,,36,38,14,
ROCKBOG,6,4,1,,4,2,1,,8,4,1,,8,7,1,,8,5,1,,9,6,3,
ROCK LITTLE,16,20,4,,17,11,5,,9,6,3,1,5,3,2,,6,5,2,,4,3,2,
ROSTYGAH,15,16,3,,16,8,2,1,8,9,2,1,14,5,2,,9,5,1,,13,4,2,
SHEEPHOUSE,172,196,71,2,145,154,57,,35,28,14,,10,13,5,,,,,,,,,
SPRINGFIELD,8,8,3,,7,11,3,,9,8,2,,12,8,3,,11,6,3,,9,6,3,
THOMASTOWN,47,55,18,,48,55,20,,36,41,13,,34,38,12,,28,25,10,1,21,15,7,
TINAHASK LOWER,262,309,105,2,399,406,152,3,20,23,8,,,,,,,,,,,,,
TINAHASK UPPER,11,8,2,,5,3,1,,4,2,1,,16,21,7,,,,,,,,,
YARDLAND,118,123,44,1,77,82,31,1,73,77,33,1,,,,,,,,,,,,
,1454,1529,502,10,1378,1438,495,10,736,761,253,6,594,605,205,2,411,404,142,5,380,331,138,5
ARKLOW T,1558,1696,524,14,1663,1637,565,21,2331,2429,887,20,2601,2577,1019,11,,,,,,,,
ARKLOW TOWNSHIP,,,,,,,,,,,,,,,,,2033,2305,955,65,1550,2221,918,90
DO. FEVER HOSPITAL,,,,,6,,1,,,,,,,,,,,,,,,,,
TOTAL,3012,3225,1026,24,3047,3075,1061,31,3067,3190,1140,26,3195,3182,1224,13,2444,2709,1097,70,1930,2552,1056,95
BALLINAGORE,30,31,14,,38,33,14,,27,22,10,,26,12,9,,18,17,8,,15,14,7,
BALLINASILLOGE,42,44,12,,39,36,11,,36,35,12,,40,31,14,,35,34,12,,30,30,14,
BALLINTEMPLE,51,45,12,,41,38,13,,49,46,16,3,68,58,23,,45,49,16,,37,32,12,1
BALLYCOOG LOWER,125,138,49,,38,32,12,,32,27,10,,41,27,13,,35,35,11,,29,29,10,
BALLYCOOG UPPER,43,44,16,1,18,18,8,,34,32,13,,22,23,8,,19,19,8,,9,10,6,
BALLYKILLAGEER LOWER,35,28,7,,26,28,7,1,26,26,7,,28,21,7,,28,20,6,1,21,20,6,
BALLYKILLAGEER UPPER,27,29,11,2,34,28,9,1,33,31,8,2,34,38,11,,30,37,11,,30,26,11,1
COOLAHULLIN,73,68,20,,72,55,22,,58,55,21,,42,48,18,,38,34,14,1,34,21,12,
COOLGARROW,76,74,27,2,78,77,25,,80,69,22,1,41,40,15,,38,42,19,,35,30,12,
MONEYTEIGE MIDDLE,19,13,4,,22,10,4,,20,10,4,,20,14,5,,15,13,5,,11,9,3,1
MONEYTEIGE NORTH,22,19,6,,26,17,4,,15,13,3,,14,13,3,,11,8,3,,8,8,3,
MONEYTEIGE SOUTH,22,16,7,,20,14,6,,21,13,5,,21,16,7,,12,5,3,,14,11,4,
TOTAL,565,549,185,5,452,386,135,2,431,379,131,6,397,341,133,,324,313,116,2,273,240,100,3
BALLANAGH,38,48,10,,30,34,9,,26,24,9,,18,23,9,,32,37,10,,13,25,9,1
BALLINABARNY NORTH,52,58,17,,28,30,12,2,34,32,15,1,35,42,18,1,30,24,14,,22,20,8,2
BALLINABARNY SOUTH,42,32,12,,34,36,10,,44,38,12,1,12,12,6,,12,11,8,,13,11,8,
BALLINAMONA,27,27,8,1,34,28,7,1,23,27,7,,23,23,6,,28,20,6,,18,19,7,
BALLINAPARK,33,20,5,,16,16,5,,14,10,5,,12,12,6,,11,15,7,,6,10,6,
BALLINASTRAW,26,23,6,,18,19,5,,7,7,3,,10,8,4,,11,10,3,,7,8,3,
BALLINVALLY (Valentine),100,83,28,,29,30,8,1,24,19,8,,32,30,10,,18,18,8,,9,8,4,
BALLINVALLY (Wisdom),38,51,13,,32,46,11,1,23,32,9,,18,14,6,,12,20,5,,11,17,4,1
BALLYARTHUR,23,23,8,,23,29,6,1,19,24,7,,21,20,8,,14,15,8,,10,13,4,2
BALLYCOOLEEN,30,33,8,,25,23,9,1,12,17,8,,23,17,8,1,25,21,9,,11,18,7,2
BALLYGAHAN LOWER,62,42,16,2,40,48,13,2,38,39,11,3,26,24,10,,16,13,7,1,10,17,8,
BALLYGAHAN UPPER,38,31,11,,35,26,8,,24,22,10,,17,15,7,,20,15,7,,15,15,7,
BALLYMONEEN,152,136,43,,116,110,33,,90,98,34,,78,79,30,1,32,49,18,2,36,42,17,
BALLYMURTAGH,226,224,63,5,212,198,63,7,123,106,43,1,110,102,43,3,50,53,24,6,35,32,15,12
CASTLEHOWARD,19,18,8,,25,28,7,3,20,24,5,,7,10,5,1,5,13,5,,6,8,5,
CASTLEMACADAM,39,42,11,3,28,29,10,2,29,37,11,1,24,27,11,1,16,19,7,,12,23,7,
CHERRYMOUNT,2,4,2,1,13,13,2,2,5,10,2,,3,6,2,,7,12,3,,9,1,2,1
CONNARY LOWER,53,42,16,1,23,19,8,,52,39,12,,14,10,4,,9,8,3,,8,7,3,
CONNARY UPPER,39,36,15,2,48,53,18,3,42,37,16,,45,42,18,,14,18,9,,4,9,4,2
CRONEBANE,189,186,57,2,123,135,41,5,139,130,38,,103,100,39,,57,52,21,,43,41,26,1
GARNAGOWLAN,37,48,8,,25,28,8,,27,33,10,,15,22,7,,24,30,7,1,28,20,7,2
KILCASHEL,139,126,36,1,152,163,42,,168,171,50,,132,134,46,7,77,75,28,,47,53,21,1
KILMACOO,48,49,16,,169,154,50,1,174,158,53,2,106,108,45,2,57,72,30,3,38,46,24,2
KILMACOO UPPER,200,193,62,1,110,112,36,,89,88,31,,69,67,26,,37,34,15,2,20,32,13,2
KILMAGIG LOWER,97,93,26,2,93,92,30,2,72,81,23,3,40,56,18,,51,51,22,2,40,43,23,4
KILMAGIG UPPER,52,60,14,,37,27,12,,52,38,16,,49,35,17,,15,9,6,,9,8,6,
KILQUEENY,36,32,6,,45,39,12,,42,37,13,1,32,45,13,2,62,48,19,1,45,40,14,2
KINGSTON,26,27,8,,20,18,6,,13,18,5,,13,14,6,,12,17,7,,18,18,8,1
KNOCKANDUFF,16,18,5,,16,13,5,,6,9,4,,3,6,4,,8,8,4,,9,8,4,
KNOCKANODE,131,115,33,,72,72,29,,65,59,25,1,39,42,17,1,37,29,13,1,33,20,11,2
KNOCKANREE LOWER,53,62,15,1,38,43,12,1,30,24,12,,28,27,12,,24,30,11,,27,27,11,
KNOCKANREE UPPER,63,64,20,1,53,43,16,,55,43,16,,59,55,20,,31,30,13,1,34,24,12,
KNOCKNAMOHILL,34,28,8,,29,29,10,,32,32,10,,27,32,8,,20,23,6,,20,20,7,
